,Date,Status,X,Y,Z,Source,Time,SessionTime
11541,2022-03-20 14:51:07.461,OnTrack,-353,1877,-158,pos,0 days 00:50:07.444000,0 days 00:50:07.444000
11542,2022-03-20 14:51:07.641,OnTrack,-353,1877,-158,pos,0 days 00:50:07.624000,0 days 00:50:07.624000
11543,2022-03-20 14:51:07.960,OnTrack,-353,1877,-158,pos,0 days 00:50:07.943000,0 days 00:50:07.943000
11544,2022-03-20 14:51:08.240,OnTrack,-353,1877,-158,pos,0 days 00:50:08.223000,0 days 00:50:08.223000
11545,2022-03-20 14:51:08.560,OnTrack,-353,1877,-158,pos,0 days 00:50:08.543000,0 days 00:50:08.543000
11546,2022-03-20 14:51:08.960,OnTrack,-353,1877,-158,pos,0 days 00:50:08.943000,0 days 00:50:08.943000
11547,2022-03-20 14:51:09.180,OnTrack,-353,1877,-158,pos,0 days 00:50:09.163000,0 days 00:50:09.163000
11548,2022-03-20 14:51:09.340,OnTrack,-353,1877,-158,pos,0 days 00:50:09.323000,0 days 00:50:09.323000
11549,2022-03-20 14:51:09.761,OnTrack,-353,1877,-158,pos,0 days 00:50:09.744000,0 days 00:50:09.744000
11550,2022-03-20 14:51:09.921,OnTrack,-353,1877,-158,pos,0 days 00:50:09.904000,0 days 00:50:09.904000
11551,2022-03-20 14:51:10.141,OnTrack,-353,1877,-158,pos,0 days 00:50:10.124000,0 days 00:50:10.124000
11552,2022-03-20 14:51:10.401,OnTrack,-353,1877,-158,pos,0 days 00:50:10.384000,0 days 00:50:10.384000
11553,2022-03-20 14:51:10.581,OnTrack,-353,1877,-158,pos,0 days 00:50:10.564000,0 days 00:50:10.564000
11554,2022-03-20 14:51:11.061,OnTrack,-353,1877,-158,pos,0 days 00:50:11.044000,0 days 00:50:11.044000
11555,2022-03-20 14:51:11.221,OnTrack,-353,1877,-158,pos,0 days 00:50:11.204000,0 days 00:50:11.204000
11556,2022-03-20 14:51:11.541,OnTrack,-353,1877,-158,pos,0 days 00:50:11.524000,0 days 00:50:11.524000
11557,2022-03-20 14:51:11.901,OnTrack,-353,1877,-158,pos,0 days 00:50:11.884000,0 days 00:50:11.884000
11558,2022-03-20 14:51:12.221,OnTrack,-353,1877,-158,pos,0 days 00:50:12.204000,0 days 00:50:12.204000
